390,  4.07619E-04,  3.58227E-04,  6.14265E-03
391,  4.97068E-04,  4.38660E-04,  7.44280E-03
392,  6.04713E-04,  5.36230E-04,  9.01661E-03
393,  7.33640E-04,  6.54061E-04,  1.09170E-02
394,  8.87247E-04,  7.95649E-04,  1.32053E-02
395,  1.06921E-03,  9.64828E-04,  1.59515E-02
396,  1.28340E-03,  1.16572E-03,  1.92347E-02
397,  1.53382E-03,  1.40263E-03,  2.31436E-02
398,  1.82443E-03,  1.67992E-03,  2.77750E-02
399,  2.15896E-03,  2.00180E-03,  3.32339E-02
400,  2.54073E-03,  2.37208E-03,  3.96308E-02
401,  2.97282E-03,  2.79433E-03,  4.70801E-02
402,  3.45993E-03,  3.27374E-03,  5.57012E-02
403,  4.00793E-03,  3.81660E-03,  6.56137E-02
404,  4.62370E-03,  4.43021E-03,  7.69323E-02
405,  5.31546E-03,  5.12316E-03,  8.97612E-02
406,  6.09138E-03,  5.90458E-03,  1.04188E-01
407,  6.95291E-03,  6.78005E-03,  1.20273E-01
408,  7.89634E-03,  7.75260E-03,  1.38044E-01
409,  8.91300E-03,  8.82286E-03,  1.57485E-01
410,  9.98835E-03,  9.98841E-03,  1.78530E-01
411,  1.11054E-02,  1.12452E-02,  2.01077E-01
412,  1.22607E-02,  1.25949E-02,  2.25091E-01
413,  1.34578E-02,  1.40425E-02,  2.50566E-01
414,  1.47044E-02,  1.55944E-02,  2.77507E-01
415,  1.60130E-02,  1.72596E-02,  3.05941E-01
416,  1.73958E-02,  1.90467E-02,  3.35858E-01
417,  1.88452E-02,  2.09545E-02,  3.66981E-01
418,  2.03440E-02,  2.29763E-02,  3.98876E-01
419,  2.18700E-02,  2.51017E-02,  4.30998E-01
420,  2.33957E-02,  2.73163E-02,  4.62692E-01
421,  2.48961E-02,  2.96062E-02,  4.93357E-01
422,  2.63761E-02,  3.19746E-02,  5.23006E-01
423,  2.78541E-02,  3.44330E-02,  5.51939E-01
424,  2.93551E-02,  3.69983E-02,  5.80599E-01
425,  3.09104E-02,  3.96928E-02,  6.09570E-01
426,  3.25498E-02,  4.25402E-02,  6.39359E-01
427,  3.42714E-02,  4.55474E-02,  6.69651E-01
428,  3.60620E-02,  4.87161E-02,  6.99829E-01
429,  3.79052E-02,  5.20467E-02,  7.29177E-01
430,  3.97810E-02,  5.55384E-02,  7.56885E-01
431,  4.16705E-02,  5.91876E-02,  7.82292E-01
432,  4.35728E-02,  6.29819E-02,  8.05666E-01
433,  4.54932E-02,  6.69031E-02,  8.27599E-01
434,  4.74385E-02,  7.09285E-02,  8.48780E-01
435,  4.94172E-02,  7.50299E-02,  8.69984E-01
436,  5.14343E-02,  7.91769E-02,  8.91761E-01
437,  5.34735E-02,  8.33463E-02,  9.13444E-01
438,  5.55102E-02,  8.75160E-02,  9.33977E-01
439,  5.75166E-02,  9.16625E-02,  9.52218E-01
440,  5.94619E-02,  9.57612E-02,  9.66960E-01
441,  6.13240E-02,  9.97977E-02,  9.77340E-01
442,  6.31288E-02,  1.03804E-01,  9.84028E-01
443,  6.49189E-02,  1.07834E-01,  9.88144E-01
